t1,t2,t3,t4,t5,t6,brs
99,65,65,14,22,47,449
11,12,59,83,66,70,459
34,90,87,63,58,7,461
91,96,13,11,68,22,512
55,15,7,49,27,71,430
76,61,87,84,49,63,427
63,13,24,55,63,59,407
36,98,54,35,54,29,409
18,10,99,39,58,22,470
75,99,17,32,46,35,446
68,40,39,31,72,43,389
85,29,60,31,41,0,446
99,68,64,92,26,57,459
81,30,73,29,94,5,487
91,95,32,54,76,85,474
2,60,26,88,25,15,482
14,79,54,42,84,92,457
4,12,32,56,2,88,496
68,52,94,23,54,90,440
44,60,62,28,80,6,427
49,10,56,56,93,21,428
17,96,30,83,38,96,493
37,66,18,81,99,5,489
21,40,63,43,33,36,391
46,41,55,56,45,67,349
49,50,60,16,22,73,399
62,19,95,2,4,66,501
93,57,87,73,33,54,436
17,62,0,69,9,35,472
79,19,70,93,15,4,507
80,54,82,44,68,56,401
7,79,8,5,20,18,522
87,2,40,41,24,65,447
12,81,5,66,48,7,477
16,51,17,13,69,86,463
48,66,27,65,89,6,442
96,46,78,96,31,72,469
76,10,87,83,86,69,496
48,53,58,73,9,49,381
91,25,16,67,22,88,486
81,22,20,46,61,37,419
72,20,29,13,34,65,443
88,69,17,95,42,71,468
79,58,2,24,37,75,452
45,96,68,40,95,19,458
6,92,8,64,23,27,494
26,61,36,43,91,40,409
79,83,81,49,5,13,479
87,12,31,11,32,62,465
88,27,0,2,14,3,543
51,74,11,78,88,94,479
30,54,44,37,84,87,417
93,34,81,80,44,70,450
77,95,15,11,85,10,524
84,29,92,24,78,52,457
74,49,24,43,7,14,438
53,97,69,95,75,57,452
41,88,98,20,36,87,479
58,14,21,64,59,52,402
77,26,13,95,82,58,477
26,38,0,70,49,39,419
95,29,9,72,0,54,486
12,31,79,23,48,57,424
5,88,43,28,61,84,460
94,49,84,77,59,36,433
67,54,79,62,78,36,409
95,84,46,37,69,48,420
47,39,16,49,98,53,402
19,53,61,10,15,84,457
11,76,81,67,16,11,489
16,35,32,92,89,78,479
1,45,88,58,4,39,459
43,22,47,21,52,71,392
85,95,97,2,20,80,539
42,42,21,77,34,89,429
68,4,61,89,35,24,458
68,52,83,13,21,79,452
32,43,8,49,82,51,403
99,33,35,94,61,56,446
8,12,96,12,84,30,520
38,86,30,76,23,41,432
48,27,2,56,43,94,432
15,53,1,5,88,9,513
30,27,95,9,73,10,494
25,6,34,98,39,9,486
69,7,47,40,82,70,430
14,47,73,1,45,74,442
48,50,16,67,4,21,430
65,92,43,6,21,38,451
91,49,47,21,89,72,438
27,92,10,66,1,10,512
82,56,46,14,1,55,435
56,81,29,51,70,50,384
27,84,13,28,36,49,432
24,17,5,61,32,8,476
15,53,52,52,81,8,419
52,31,78,93,3,26,466
55,52,28,15,10,40,416
28,74,24,52,65,22,420
31,84,35,56,86,57,421
76,8,13,49,51,34,425
99,67,98,60,17,63,475
84,67,64,18,43,47,410
74,30,48,22,46,33,396
83,19,9,34,12,33,477
8,67,45,53,41,22,406
81,54,46,76,15,24,429
80,52,95,84,44,92,464
22,78,63,31,24,79,446
5,24,30,66,90,70,470
42,20,83,57,93,82,457
17,39,98,54,74,40,433
39,83,94,73,74,96,486
82,51,72,3,41,40,424
41,63,37,99,38,98,447
82,0,83,95,19,14,530
19,94,42,93,89,10,508
6,57,36,68,52,95,434
2,42,7,21,63,0,492
63,75,46,99,61,22,434
96,42,60,97,69,25,459
45,81,34,82,27,91,451
3,74,79,7,97,89,533
38,20,51,96,78,67,438
62,47,74,9,9,34,439
34,21,98,97,61,57,462
67,3,98,26,60,59,459
8,52,56,21,93,19,456
55,58,60,39,82,26,394
20,20,37,55,16,93,457
53,64,46,89,13,18,432
99,68,96,16,47,36,467
16,32,48,76,75,22,435
35,19,38,82,50,0,442
29,98,27,40,88,41,451
21,84,45,3,51,49,419
78,96,72,32,70,30,458
16,2,14,15,50,80,485
30,99,23,84,47,26,459
42,14,66,83,94,35,455
69,64,81,34,14,13,456
78,33,32,39,72,87,436
23,89,56,29,12,79,463
63,69,30,42,48,22,392
18,0,37,2,28,61,477
47,10,55,28,90,68,431
27,91,6,43,79,60,457
45,72,95,63,41,80,428
92,14,22,17,53,63,458
98,9,9,64,77,43,481
77,44,75,53,79,30,414
11,79,48,77,61,7,454
20,80,61,61,92,9,469
0,57,51,48,12,26,424
22,55,8,73,68,67,437
73,95,82,40,13,70,471
56,83,10,8,35,4,484
23,24,14,29,38,46,426
65,57,10,24,46,79,424
40,27,17,47,39,28,402
36,30,80,19,94,4,487
20,52,0,43,68,1,458
45,39,27,92,80,13,450
23,39,6,86,86,28,478
41,78,10,57,89,81,458
47,39,41,10,12,9,442
61,0,45,52,62,17,416
48,61,23,3,95,76,461
53,77,62,89,96,73,456
59,31,54,19,2,98,462
26,67,8,55,55,3,443
90,17,0,80,35,80,501
96,13,59,31,36,46,431
66,10,36,64,11,60,436
0,76,30,84,98,39,492
61,65,37,71,84,38,410
55,76,3,62,8,84,470
68,5,35,59,90,65,446
13,16,6,73,64,49,455
16,85,26,27,81,54,454
3,97,9,92,46,66,500
6,48,41,58,15,95,445
61,61,23,77,57,79,417
67,90,65,75,2,81,481
36,73,1,20,5,84,497
91,50,16,81,56,92,459
38,8,54,58,44,89,414
91,80,64,58,15,4,478
89,86,57,88,94,63,483
94,43,66,93,4,45,464
39,52,26,77,96,62,426
14,80,27,93,29,98,504
26,41,21,67,13,91,459
87,77,11,70,3,27,496
77,83,33,80,63,45,429
48,1,8,44,62,52,415
36,66,49,34,60,99,409
76,56,72,44,75,10,429
95,0,21,65,66,27,481
48,1,38,33,72,30,423
56,78,36,71,6,39,427
